Disease ID,Disease Name,Disease Class,Definitions,# Disease(DOID),main_system_affected
C0242422,Parkinsonian Disorders,Neurological,"A group of disorders which feature impaired motor control characterized by bradykinesia, MUSCLE RIGIDITY; TREMOR; and postural instability. Parkinsonian diseases are generally divided into primary parkinsonism (see PARKINSON DISEASE), secondary parkinsonism (see PARKINSON DISEASE, SECONDARY) and inherited forms. These conditions are associated with dysfunction of dopaminergic or closely related motor integration neuronal pathways in the BASAL GANGLIA.",,Nervous
C0027540,Necrosis,Pathological Process,"The pathological process occurring in cells that are dying from irreparable injuries. It is caused by the progressive, uncontrolled action of degradative ENZYMES, leading to MITOCHONDRIAL SWELLING, nuclear flocculation, and cell lysis. It is distinct it from APOPTOSIS, which is a normal, regulated cellular process.",,Cellular/Tissue
C0085207,Gestational Diabetes,acquired metabolic disease,A diabetes mellitus that manifests during pregnancy.,DOID:11714,endocrine system
C0086445,Idiopathic Membranous Glomerulonephritis,Autoimmune,"A kidney disease characterized by thickening of the glomerular basement membrane due to immune complex deposition, leading to proteinuria and nephrotic syndrome. It is called 'idiopathic' when the underlying cause is unknown, although it is often considered an autoimmune disorder.",,Urinary system
C0020517,Hypersensitivity,immune system disease,"Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.",,immune system
C0027092,Myopia,nervous system disease,"A refractive error in which rays of light entering the EYE parallel to the optic axis are brought to a focus in front of the RETINA when accommodation (ACCOMMODATION, OCULAR) is relaxed. This results from an overly curved CORNEA or from the eyeball being too long from front to back. It is also called nearsightedness.",DOID:11830,nervous system
C0020452,Hyperemia,Vascular,"The presence of an increased amount of blood in a body part or an organ leading to congestion or engorgement of blood vessels. Hyperemia can be due to increase of blood flow into the area (active or arterial), or due to obstruction of outflow of blood from the area (passive or venous).",,Circulatory
C0040427,Tooth Abnormalities,Congenital,Congenital absence of or defects in structures of the teeth.,,Digestive
C0020456,Hyperglycemia,acquired metabolic disease,Abnormally high BLOOD GLUCOSE level.,DOID:4195,Circulatory
C0028326,Noonan Syndrome,monogenic disease,"A genetically heterogeneous, multifaceted disorder characterized by short stature, webbed neck, ptosis, skeletal malformations, hypertelorism, hormonal imbalance, CRYPTORCHIDISM, multiple cardiac abnormalities (most commonly including PULMONARY VALVE STENOSIS), and some degree of INTELLECTUAL DISABILITY. The phenotype bears similarities to that of TURNER SYNDROME that occurs only in females and has its basis in a 45, X karyotype abnormality. Noonan syndrome occurs in both males and females with a normal karyotype (46,XX and 46,XY). Mutations in a several genes (PTPN11, KRAS, SOS1, NF1 and RAF1) have been associated the the NS phenotype. Mutations in PTPN11 are the most common. LEOPARD SYNDROME, a disorder that has clinical features overlapping those of Noonan Syndrome, is also due to mutations in PTPN11. In addition, there is overlap with the syndrome called neurofibromatosis-Noonan syndrome due to mutations in NF1.",DOID:3490,cardiovascular
C0020459,Hyperinsulinism,endocrine system disease,"A syndrome with excessively high INSULIN levels in the BLOOD. It may cause HYPOGLYCEMIA. Etiology of hyperinsulinism varies, including hypersecretion of a beta cell tumor (INSULINOMA); autoantibodies against insulin (INSULIN ANTIBODIES); defective insulin receptor (INSULIN RESISTANCE); or overuse of exogenous insulin or HYPOGLYCEMIC AGENTS.",DOID:2018,endocrine system
C0013604,Edema,Physiological Disorder,Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.,,Integumentary
C0019829,Hodgkin Disease,cancer,"A malignant disease characterized by progressive enlargement of the lymph nodes, spleen, and general lymphoid tissue. In the classical variant, giant usually multinucleate Hodgkin's and REED-STERNBERG CELLS are present; in the nodular lymphocyte predominant variant, lymphocytic and histiocytic cells are seen.",,lymphatic/immune system
C0005944,Metabolic Bone Disorder,Metabolic,"A group of disorders affecting bone strength or structure, usually caused by abnormalities in minerals such as calcium or phosphorus, vitamin D, or bone metabolism.",,Skeletal
C0005941,"Bone Diseases, Developmental",Developmental,"A group of conditions characterized by abnormalities in the growth, development, and structure of bones, often present from birth or early childhood.",,Skeletal
C0042514,"Tachycardia, Ventricular",Cardiovascular disease,"An abnormally rapid ventricular rhythm usually in excess of 150 beats per minute. It is generated within the ventricle below the BUNDLE OF HIS, either as autonomic impulse formation or reentrant impulse conduction. Depending on the etiology, onset of ventricular tachycardia can be paroxysmal (sudden) or nonparoxysmal, its wide QRS complexes can be uniform or polymorphic, and the ventricular beating may be independent of the atrial beating (AV dissociation).",,Cardiovascular
C0013421,Dystonia,nervous system disease,"An attitude or posture due to the co-contraction of agonists and antagonist muscles in one region of the body. It most often affects the large axial muscles of the trunk and limb girdles. Conditions which feature persistent or recurrent episodes of dystonia as a primary manifestation of disease are referred to as DYSTONIC DISORDERS. (Adams et al., Principles of Neurology, 6th ed, p77)",DOID:543,nervous system
C1168401,Squamous Cell Carcinoma Of The Head And Neck,cancer,"A type of cancer that begins in the squamous cells that line the moist surfaces inside the head and neck, such as the mouth, throat, voice box, and sinuses.",,Head and Neck
C0034065,Pulmonary Embolism,cardiovascular system disease,Blocking of the PULMONARY ARTERY or one of its branches by an EMBOLUS.,DOID:9477,cardiovascular system
C0034069,Pulmonary Fibrosis,respiratory system disease,A process in which normal lung tissues are progressively replaced by FIBROBLASTS and COLLAGEN causing an irreversible loss of the ability to transfer oxygen into the bloodstream via PULMONARY ALVEOLI. Patients show progressive DYSPNEA finally resulting in death.,DOID:3770,respiratory system
C0037769,West Syndrome,nervous system disease,"An infancy electroclinical syndrome that is characterized by infantile spasms, hypsarrhythmia on electroencephalogram and intellectual disability.",DOID:0050562,nervous system
C2937358,Cerebral Hemorrhage,Vascular,Bleeding into one or both CEREBRAL HEMISPHERES including the BASAL GANGLIA and the CEREBRAL CORTEX. It is often associated with HYPERTENSION and CRANIOCEREBRAL TRAUMA.,,Nervous system
C0035828,Romano-Ward Syndrome,monogenic disease,A form of long QT syndrome that is without congenital deafness. It is caused by mutation of the KCNQ1 gene which encodes a protein in the VOLTAGE-GATED POTASSIUM CHANNEL.,,cardiovascular
C0026640,Mouth Neoplasms,cancer,Tumors or cancer of the MOUTH.,,digestive system
C0023890,Liver Cirrhosis,gastrointestinal system disease,"Liver disease in which the normal microcirculation, the gross vascular anatomy, and the hepatic architecture have been variably destroyed and altered with fibrous septa surrounding regenerated or regenerating parenchymal nodules.",DOID:5082,Gastrointestinal system
C0028754,Obesity,acquired metabolic disease,"A status with BODY WEIGHT that is grossly above the acceptable or desirable weight, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY).",DOID:9970,metabolic
C0023892,Biliary Cirrhosis,immune system disease,"A chronic liver disease characterized by progressive destruction of bile ducts, leading to bile accumulation, inflammation, fibrosis, and eventually cirrhosis (scarring) of the liver.",,Digestive system
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,Cancer,A rapidly progressing type of cancer that starts in immature white blood cells (lymphoblasts). It can occur as leukemia (in the bone marrow and blood) or as lymphoma (in lymph nodes and other tissues).,,Hematopoietic and Lymphatic System
C0878544,Cardiomyopathies,cardiovascular system disease,"A group of diseases in which the dominant feature is the involvement of the CARDIAC MUSCLE itself. Cardiomyopathies are classified according to their predominant pathophysiological features (DILATED CARDIOMYOPATHY; HYPERTROPHIC CARDIOMYOPATHY; RESTRICTIVE CARDIOMYOPATHY) or their etiological/pathological factors (CARDIOMYOPATHY, ALCOHOLIC; ENDOCARDIAL FIBROELASTOSIS).",,cardiovascular system
C1832200,Peroxisome Biogenesis Disorders,Genetic,"Peroxisome biogenesis disorders (PBDs) are a group of rare genetic disorders caused by mutations in genes required for the formation and function of peroxisomes, organelles involved in various metabolic processes. These disorders result in the accumulation of very long-chain fatty acids and other metabolites, affecting multiple organ systems.",,Multiple Systems
C0265965,Dyskeratosis Congenita,integumentary system disease,"A predominantly X-linked recessive syndrome characterized by a triad of reticular skin pigmentation, nail dystrophy and leukoplakia of mucous membranes. Oral and dental abnormalities may also be present. Complications are a predisposition to malignancy and bone marrow involvement with pancytopenia. (from Int J Paediatr Dent 2000 Dec;10(4):328-34) The X-linked form is also known as Zinsser-Cole-Engman syndrome and involves the gene which encodes a highly conserved protein called dyskerin.",DOID:2729,Integumentary system
C0041948,Uremia,urinary system disease,"A clinical syndrome associated with the retention of renal waste products or uremic toxins in the blood. It is usually the result of RENAL INSUFFICIENCY. Most uremic toxins are end products of protein or nitrogen CATABOLISM, such as UREA or CREATININE. Severe uremia can lead to multiple organ dysfunctions with a constellation of symptoms.",DOID:4676,urinary system
C0011581,Depressive Disorder,Mental Disorder,An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,,Nervous System
C0040053,Thrombosis,Vascular disorder,Formation and development of a thrombus or blood clot in the blood vessel.,,Cardiovascular
C0027765,Nervous System Disorder,nervous system disease,"A broad category of conditions that affect the structure or function of the nervous system, which includes the brain, spinal cord, and peripheral nerves.",,nervous
C0024299,Lymphoma,cancer,A general term for various neoplastic diseases of the lymphoid tissue.,DOID:0060058,lymphatic system
C0017661,Iga Glomerulonephritis,urinary system disease,"A glomerulonephritis characterized by build up of IgA antibody in the glomerulus. [url:http\://en.wikipedia.org/wiki/IgA_nephropathy, url:http\://www.nlm.nih.gov/medlineplus/ency/article/000466.htm]",DOID:2986,urinary system
C0334634,"Malignant Lymphoma, Lymphocytic, Intermediate Differentiation, Diffuse",Cancer,"An older classification term for a type of non-Hodgkin lymphoma characterized by diffuse growth of lymphocytes with features intermediate between small lymphocytic lymphoma and diffuse large B-cell lymphoma. This category is largely obsolete in modern classifications, often corresponding to entities like mantle cell lymphoma.",,Lymphatic system
C0020672,"Hypothermia, Natural",Environmental injury,"Hypothermia is a medical emergency that occurs when your body loses heat faster than it produces heat, causing a dangerously low body temperature, typically below 35°C (95°F). 'Natural' hypothermia is usually caused by prolonged exposure to cold environmental conditions.",,Systemic
C0086543,Cataract,Degenerative,"Partial or complete opacity on or in the lens or capsule of one or both eyes, impairing vision or causing blindness. The many kinds of cataract are classified by their morphology (size, shape, location) or etiology (cause and time of occurrence). (Dorland, 27th ed)",DOID:83,Nervous
C0524909,"Hepatitis B, Chronic",infectious,"INFLAMMATION of the LIVER in humans caused by HEPATITIS B VIRUS lasting six months or more. It is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.",,digestive
C0011609,Drug Eruptions,Adverse drug reaction,"Adverse cutaneous reactions caused by ingestion, parenteral use, or local application of a drug. These may assume various morphologic patterns and produce various types of lesions.",,Integumentary
C0346647,Malignant Neoplasm Of Pancreas,Cancer,"A malignant tumor that originates in the tissues of the pancreas, an organ located behind the stomach that produces digestive enzymes and hormones like insulin.",,Digestive system
C0038356,Stomach Neoplasms,cancer,Tumors or cancer of the STOMACH.,,Digestive system
C0029463,Osteosarcoma,cancer,"A sarcoma originating in bone-forming cells, affecting the ends of long bones. It is the most common and most malignant of sarcomas of the bones, and occurs chiefly among 10- to 25-year-old youths. (From Stedman, 25th ed)",DOID:3347,Skeletal system
C0042900,Vitiligo,immune system disease,"A disorder consisting of areas of macular depigmentation, commonly on extensor aspects of extremities, on the face or neck, and in skin folds. Age of onset is often in young adulthood and the condition tends to progress gradually with lesions enlarging and extending until a quiescent state is reached.",DOID:12306,Integumentary system
C0038358,Gastric Ulcer,gastrointestinal system disease,"A sore or lesion that forms in the lining of the stomach, often caused by Helicobacter pylori infection or NSAID use.",DOID:10808,Gastrointestinal system
C0021390,Inflammatory Bowel Diseases,gastrointestinal system disease,"Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS.",,digestive system
C0860207,Drug-Induced Liver Injury,Toxic,"A spectrum of clinical liver diseases ranging from mild biochemical abnormalities to ACUTE LIVER FAILURE, caused by drugs, drug metabolites, and chemicals from the environment.",,Hepatic
C0010278,Craniosynostosis,musculoskeletal system disease,"A synostosis that results_in premature fusion located_in skull. [url:http\://en.wikipedia.org/wiki/Craniosynostosis, url:http\://www.chw.org/display/router.asp?DocID=22502, url:http\://www.mayoclinic.com/health/craniosynostosis/DS00959, url:http\://www.ninds.nih.gov/disorders/craniosynostosis/craniosynostosis.htm, url:http\://www.nlm.nih.gov/medlineplus/ency/article/001590.htm]",DOID:2340,musculoskeletal system
C0079773,"Lymphoma, T-Cell, Cutaneous",cancer,A group of lymphomas exhibiting clonal expansion of malignant T-lymphocytes arrested at varying stages of differentiation as well as malignant infiltration of the skin. MYCOSIS FUNGOIDES; SEZARY SYNDROME; LYMPHOMATOID PAPULOSIS; and PRIMARY CUTANEOUS ANAPLASTIC LARGE CELL LYMPHOMA are the best characterized of these disorders.,,integumentary
C0079772,T-Cell Lymphoma,Cancer,"A type of non-Hodgkin lymphoma that develops from T-cells, a type of white blood cell.",,Hematologic/Lymphatic
C0424295,Hyperactive Behavior,Behavioral/Neurodevelopmental,"Hyperactive behavior is characterized by excessive motor activity, restlessness, difficulty remaining still, and often impulsive actions. It is frequently a core symptom of conditions such as Attention-Deficit/Hyperactivity Disorder (ADHD).",,Nervous
C0037268,Skin Abnormalities,Genetic,Congenital structural abnormalities of the skin.,,Integumentary
C0677886,Epithelial Ovarian Cancer,cancer,A type of cancer that begins in the epithelial cells on the surface of the ovary. It is the most common type of ovarian cancer.,,Reproductive system
C0282527,Infantile Refsum Disease (Disorder),inherited metabolic disorder,"A severe inherited metabolic disorder belonging to the Zellweger spectrum disorders, caused by defective peroxisome function leading to accumulation of very long-chain fatty acids and phytanic acid. It affects multiple systems, causing developmental delay, intellectual disability, vision and hearing loss, liver dysfunction, and skeletal abnormalities.",,Nervous system
C0282525,"Adrenoleukodystrophy, Neonatal",Genetic,"A severe peroxisomal disorder, part of the Zellweger spectrum, characterized by impaired peroxisome function leading to accumulation of very long-chain fatty acids, affecting the brain, adrenal glands, and other organs, typically presenting in infancy or early childhood with neurological dysfunction and developmental delay.",,Nervous system
C0019569,Hirschsprung Disease,gastrointestinal system disease,"Congenital MEGACOLON resulting from the absence of ganglion cells (aganglionosis) in a distal segment of the LARGE INTESTINE. The aganglionic segment is permanently contracted thus causing dilatation proximal to it. In most cases, the aganglionic segment is within the RECTUM and SIGMOID COLON.",,gastrointestinal system
C1720887,Female Urogenital Diseases,Organ System,"Pathological processes of the female URINARY TRACT and the reproductive system (GENITALIA, FEMALE).",,Urogenital System
C0919267,Ovarian Neoplasm,cancer,"An abnormal growth of tissue in the ovary, which can be benign (non-cancerous) or malignant (cancerous).",,Reproductive system
C0162871,"Aortic Aneurysm, Abdominal",cardiovascular system disease,"An abnormal balloon- or sac-like dilatation in the wall of the ABDOMINAL AORTA which gives rise to the visceral, the parietal, and the terminal (iliac) branches below the aortic hiatus at the diaphragm.",,cardiovascular
C0042487,Venous Thrombosis,Vascular disease,The formation or presence of a blood clot (THROMBUS) within a vein.,,Cardiovascular system
C0002622,Amnesia,cognitive disorder,"Pathologic partial or complete loss of the ability to recall past experiences (AMNESIA, RETROGRADE) or to form new memories (AMNESIA, ANTEROGRADE). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the DIENCEPHALON or HIPPOCAMPUS. (From Adams et al., Principles of Neurology, 6th ed, pp426-7)",,nervous system
C0020557,Hypertriglyceridemia,metabolic,A condition of elevated levels of TRIGLYCERIDES in the blood.,,cardiovascular
C0019080,Hemorrhage,Vascular,Bleeding or escape of blood from a vessel.,,Cardiovascular
C0038220,Status Epilepticus,nervous system disease,"A prolonged seizure or seizures repeated frequently enough to prevent recovery between episodes occurring over a period of 20-30 minutes. The most common subtype is generalized tonic-clonic status epilepticus, a potentially fatal condition associated with neuronal injury and respiratory and metabolic dysfunction. Nonconvulsive forms include petit mal status and complex partial status, which may manifest as behavioral disturbances. Simple partial status epilepticus consists of persistent motor, sensory, or autonomic seizures that do not impair cognition (see also EPILEPSIA PARTIALIS CONTINUA). Subclinical status epilepticus generally refers to seizures occurring in an unresponsive or comatose individual in the absence of overt signs of seizure activity. (From N Engl J Med 1998 Apr 2;338(14):970-6; Neurologia 1997 Dec;12 Suppl 6:25-30)",DOID:1824,nervous system
C1561643,Chronic Kidney Diseases,Chronic/Degenerative,A long-term condition characterized by a gradual loss of kidney function over time.,,Renal
C0023473,"Myeloid Leukemia, Chronic",cancer,A type of cancer that starts in the blood-forming cells of the bone marrow and affects myeloid cells. It is characterized by the overproduction of abnormal white blood cells.,,Hematopoietic system
C0023470,Myeloid Leukemia,cancer,A leukemia that is located_in myeloid tissue. [url:http\://en.wikipedia.org/wiki/Myeloid_leukemia],DOID:8692,Hematopoietic system
C0006663,Calcinosis,acquired metabolic disease,Pathologic deposition of calcium salts in tissues.,DOID:182,Musculoskeletal
C0003504,Aortic Valve Insufficiency,cardiovascular system disease,"Pathological condition characterized by the backflow of blood from the ASCENDING AORTA back into the LEFT VENTRICLE, leading to regurgitation. It is caused by diseases of the AORTIC VALVE or its surrounding tissue (aortic root).",DOID:57,cardiovascular
C1960469,Left Ventricular Noncompaction,Cardiomyopathy,An intrinsic cardiomyopathy characterized by distinctive (spongy) morphological appearance of the LV myocardium. [PMID:16567565],DOID:0060480,Cardiovascular
C0030567,Parkinson Disease,nervous system disease,"A progressive, degenerative neurologic disease characterized by a TREMOR that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. LEWY BODIES are present in the substantia nigra and locus coeruleus but may also be found in a related condition (LEWY BODY DISEASE, DIFFUSE) characterized by dementia in combination with varying degrees of parkinsonism. (Adams et al., Principles of Neurology, 6th ed, p1059, pp1067-75)",,nervous system
C0014170,Endometrial Neoplasms,cancer,"Tumors or cancer of ENDOMETRIUM, the mucous lining of the UTERUS. These neoplasms can be benign or malignant. Their classification and grading are based on the various cell types and the percent of undifferentiated cells.",,reproductive system
C0243026,Sepsis,infectious,"Systemic inflammatory response syndrome with a proven or suspected infectious etiology. When sepsis is associated with organ dysfunction distant from the site of infection, it is called severe sepsis. When sepsis is accompanied by HYPOTENSION despite adequate fluid infusion, it is called SEPTIC SHOCK.",,cardiovascular
C0014175,Endometriosis,reproductive system disease,"A condition in which functional endometrial tissue is present outside the UTERUS. It is often confined to the PELVIS involving the OVARY, the ligaments, cul-de-sac, and the uterovesical peritoneum.",DOID:289,reproductive system
C0014859,Esophageal Neoplasms,cancer,Tumors or cancer of the ESOPHAGUS.,,digestive system
C0341106,Eosinophilic Esophagitis,gastrointestinal system disease,"Chronic ESOPHAGITIS characterized by esophageal mucosal EOSINOPHILIA. It is diagnosed when an increase in EOSINOPHILS are present over the entire esophagus. The reflux symptoms fail to respond to PROTON PUMP INHIBITORS treatment, unlike in GASTROESOPHAGEAL REFLUX DISEASE. The symptoms are associated with IgE-mediated hypersensitivity to food or inhalant allergens.",DOID:13922,gastrointestinal system
C0005684,Malignant Neoplasm Of Urinary Bladder,cancer,A malignant tumor that originates in the tissues of the urinary bladder.,,Urinary system
C0752347,Lewy Body Disease,nervous system disease,"A neurodegenerative disease characterized by dementia, mild parkinsonism, and fluctuations in attention and alertness. The neuropsychiatric manifestations tend to precede the onset of bradykinesia, MUSCLE RIGIDITY, and other extrapyramidal signs. DELUSIONS and visual HALLUCINATIONS are relatively frequent in this condition. Histologic examination reveals LEWY BODIES in the CEREBRAL CORTEX and BRAIN STEM. SENILE PLAQUES and other pathologic features characteristic of ALZHEIMER DISEASE may also be present. (From Neurology 1997;48:376-380; Neurology 1996;47:1113-1124)",,nervous system
C3160718,"Parkinson Disease, Late-Onset",Neurodegenerative,"A neurodegenerative disorder characterized by the progressive loss of dopaminergic neurons in the brain, leading to motor symptoms such as tremor, rigidity, bradykinesia, and postural instability, with onset occurring typically after age 50 or 60.",,Nervous system
C0311375,Arsenic Poisoning,Toxic,"Disorders associated with acute or chronic exposure to compounds containing ARSENIC (ARSENICALS) which may be fatal. Acute oral ingestion is associated with gastrointestinal symptoms and an encephalopathy which may manifest as SEIZURES, mental status changes, and COMA. Chronic exposure is associated with mucosal irritation, desquamating rash, myalgias, peripheral neuropathy, and white transverse (Mees) lines in the fingernails. (Adams et al., Principles of Neurology, 6th ed, p1212)",,Nervous
C0007621,Neoplastic Cell Transformation,Cancer,"The process by which normal cells acquire characteristics of cancer cells, including uncontrolled proliferation, loss of differentiation, and the potential for invasion and metastasis.",,Multiple systems
